목록키,목록유형,목록명,파일데이터명,분류체계,제공기관코드,제공기관,관리 부서명,관리부서 전화번호,보유근거,수집방법,업데이트 주기,차기 등록 예정일,매체유형,전체행,확장자(데이터포맷),키워드,다운로드_활용신청건수,등록일,수정일,데이터 한계,제공형태,설명,기타 유의사항,공간범위,시간범위,비용부과유무,비용부과기준 및 단위,이용허락범위,API 유형,신청가능 트래픽,심의 유형,조회수,목록 URL,국가중점여부,표준데이터여부
15006881,FILE,한국조폐공사_수질오염물질 배출량 현황,한국조폐공사_수질오염물질 배출량 현황_20250228,환경기상 - 상하수도·수질,B190001,한국조폐공사,ICT기획처,`0428701434,자체보유,-,연간,2026-03-28,텍스트,11,csv,"에스에스,생화학적 산소요구량,화학적 산소요구량,환경관리,수질관리,오염물질,배출현황",3213,2018-02-02,2025-08-19,단위:ppm,공공데이터포털에서 다운로드(원문파일등록),"‘한국조폐공사_수질오염물질 배출량 현황’ 데이터는 한국조폐공사에서 배출되는 주요 수질오염물질의 연도별 배출량 정보를 제공합니다. 이 데이터에는 생물학적 산소요구량(BOD), 화학적 산소요구량(COD), 부유물질(SS), 총질소(T-N), 총인(T-P) 등 수질에 직접적인 영향을 미치는 다양한 오염물질의 배출 현황이 체계적으로 기록되어 있습니다. 수질오염물질의 배출량 변화를 시계열로 파악할 수 있어 환경 관리, 오염 저감 대책 마련 등에 활용할 수 있습니다. 이 데이터는 수질 관리 및 환경 보호를 위한 자료로 활용될 수 있습니다.",-,-,-,무료,건 ,이용허락범위 제한 없음,-,-,-,5204,https://www.data.go.kr/data/15006881/fileData.do,N,N
15006888,FILE,경상남도 남해군_목욕장업현황,경상남도 남해군_목욕장업현황_20250919,보건의료 - 보건의료,5430000,경상남도 남해군,행정과,`0558603134,-,-,연간,2026-09-21,텍스트,20,csv,"목욕탕,사우나,공중위생업소,생활편의시설,주민생활서비스",1188,2019-05-07,2025-09-19,-,공공데이터포털에서 다운로드(원문파일등록),"목욕장업 현황 데이터는 남해군 관내에서 운영 중인 목욕탕, 사우나, 찜질방 등 목욕장 업소의 기본 정보를 제공하는 자료입니다. 데이터 항목에는 업종명, 업소명, 영업소 주소(도로명), 소재지 전화번호가 포함되어 있어 주민과 방문객이 생활 편의 시설을 손쉽게 찾을 수 있도록 돕습니다. 해당 자료는 지역 내 위생·편의 시설의 분포를 파악하고, 이용자가 가까운 목욕장을 빠르게 검색할 수 있는 기초 정보를 제공합니다. 또한 행정기관에서는 공중위생 관리, 안전 점검, 시설 분포 분석 등에 활용할 수 있으며, 민간에서는 생활 서비스 안내, 지역 상권 분석, 관광 편의 개선 등 다양한 용도로 활용할 수 있습니다. 특히 고령층 주민이나 외부 관광객에게 유용한 생활밀착형 공공데이터로서 의미가 큽니다.","항목중 전화번호가 공란인 경우는, 대표자 전화번호가 개인 휴대전화여서 개인정보보호 관련으로 공란처리되었으니, 참고하시기 바랍니다.",-,-,무료,건 ,이용허락범위 제한 없음,-,-,-,3233,https://www.data.go.kr/data/15006888/fileData.do,N,N
15006893,FILE,충청북도 괴산군_부동산중개업,충청북도 괴산군_부동산중개업_20200508,공공행정 - 일반행정,4460000,충청북도 괴산군,행정과,`0438303154,공인중개사법,-,수시,-,텍스트,45,csv,"공인중개사,중개인,부동산",1575,2016-06-21,2022-09-28,-,공공데이터포털에서 다운로드(원문파일등록),충청북도 괴산군의 부동산중개업 현황에 대한 파일데이터입니다. 상호명과 도로명 주소  및 대표자를 확인할 수 있습니다 자세한 사항은 괴산군청으로 문의주시기 바랍니다,-,-,-,무료,건 ,이용허락범위 제한 없음,-,-,-,3955,https://www.data.go.kr/data/15006893/fileData.do,N,N
15006896,FILE,전라남도 담양군_이미용업 현황,전라남도 담양군_이미용업 현황_20230914,공공행정 - 일반행정,4850000,전라남도 담양군,행정과,`0613803190,공중위생관리법,-,연간,2024-09-13,텍스트,95,csv,"공중위생,미용업,이용업",782,2019-09-25,2023-09-18,-,공공데이터포털에서 다운로드(원문파일등록),"전라남도 담양군 이미용업 현황(업소명, 소재지, 전화번호)등에 대한 정보를 제공하고 있으며, 공공데이터포털에 제공데이터는 기관승인 없이 무료로 활용이 가능합니다.",전화번호 중 개인 휴대전화로 등록된 곳은 개인정보 노출로 인해 공란으로 두었으니 참고하시기 바랍니다.,-,-,무료,건 ,이용허락범위 제한 없음,-,-,-,2479,https://www.data.go.kr/data/15006896/fileData.do,N,N
15006897,FILE,충청북도 옥천군_부동산중개업소 현황,충청북도 옥천군_부동산중개업소 현황_20250916,공공행정 - 일반행정,4430000,충청북도 옥천군,행정과,`0437303193,-,-,연간,2026-09-16,텍스트,31,csv,"부동산중개업소,공인중개사무소,중개업,전세,월세,부동산 매매,부동산,사업체정보",1991,2019-06-10,2025-11-17,개인정보 및 미집계 데이터의 경우 공란이 있을 수 있습니다.,공공데이터포털에서 다운로드(원문파일등록),"충청북도 옥천군_부동산중개업소 현황 데이터는 옥천군 관내에서 영업 중인 부동산중개업소의 등록 현황을 체계적으로 정리·제공하는 공공데이터입니다. 이 데이터에는 각 중개업소의 등록번호, 사무소명, 전화번호, 사무소 주소 등 주요 정보가 포함되어 있어, 지역 내 공인중개사가 운영하는 중개 사무소의 실체를 한눈에 파악할 수 있습니다.<br/>데이터는 연 1회 이상 정기적으로 최신 현황으로 갱신되며, 행정과 등 옥천군청 관련 부서에서 관리합니다. 누구나 공공데이터포털을 통해 CSV, XML, JSON 등 다양한 파일 형태로 무료로 내려받을 수 있어 활용도와 접근성이 높습니다.<br/>이 자료는 부동산 거래 시 신뢰할 수 있는 중개업소 확인, 지역 내 영업 중개사 분포 조사, 상권 및 시장분석, 부동산 정책 및 관리업무, 신규 창업자 또는 이용자들의 정보 검색 등 다양한 실무·행정 목적에 활용됩니다. 최신 정보 제공을 위해 주기적으로 업데이트되며, 이용 제한 없이 공개되어 정보의 투명성과 접근 편의를 동시에 보장합니다",개인정보 및 미집계 데이터의 경우 공란이 있을 수 있습니다.,-,-,무료,건 ,이용허락범위 제한 없음,-,-,-,4863,https://www.data.go.kr/data/15006897/fileData.do,N,N
15006902,FILE,경상남도 통영시_경상남도 통영시 마을회관 현황,경상남도 통영시_경상남도 통영시 마을회관 현황_20250825,사회복지 - 사회복지일반,5330000,경상남도 통영시,정보통신과,`0556502755,-,-,연간,2026-08-28,텍스트,179,csv,"마을회관,회관,이장,공공시설,주민편의시설,커뮤니티센터",1110,2020-03-30,2025-09-07,-,공공데이터포털에서 다운로드(원문파일등록),"본 자료는 통영시 관내에 위치한 각 마을회관에 대한 기초 현황 정보를 종합적으로 제공하는 것을 목적으로 합니다. 주요 제공 항목으로는 행정구역과 시설명, 연락을 위한 전화번호, 그리고 소재지를 확인할 수 있는 도로명주소와 지번주소가 포함되어 있습니다. 또한 해당 시설을 실제로 이용하는 인원 현황, 건축물의 준공연도, 대지면적(㎡), 건축면적(㎡), 연면적(㎡) 등 건축 관련 제원도 함께 수록하였습니다. 더불어 시설의 구조적 특성에 대한 정보와 자료의 신뢰성을 확인할 수 있는 데이터 기준일자도 포함되어 있어, 향후 행정적 활용이나 시설 관리·운영 시 기초자료로서 활용될 수 있습니다.",-,-,-,무료,건 ,이용허락범위 제한 없음,-,-,-,3931,https://www.data.go.kr/data/15006902/fileData.do,N,N
15006904,FILE,충청북도 옥천군_공중위생업소현황,충청북도 옥천군_공중위생업소현황_20250916,식품건강 - 식품의약안전,4430000,충청북도 옥천군,행정과,`0437303193,공중위생관리법 제3조,-,연간,2026-09-16,텍스트,217,csv,"숙박업,미용업,세탁업,목욕탕,찜질방,위생업,생활서비스,보건환경",1830,2019-06-10,2025-11-17,-,공공데이터포털에서 다운로드(원문파일등록),"충청북도 옥천군_공중위생업소현황 데이터는 옥천군 내에서 영업 중인 다양한 공중위생업소의 기본 정보를 체계적으로 제공하는 공공데이터입니다. 주요 데이터 항목에는 업종명(예: 미용업, 이·미용실, 목욕장업, 숙박업, 세탁업 등), 업소명, 소재지 도로명 주소, 데이터 기준일 등이 포함되어 있습니다.<br/>이 데이터는 행정기관이 정기적으로 최신 내용으로 갱신하며, 각 위생업소의 업종 구분 및 위치, 현행 영업 여부 등을 명확히 파악할 수 있도록 설계되어 있습니다. 이를 통해 옥천군 내 업종별·지역별 위생 서비스 제공 현황, 업소 분포, 신규·폐업 동향 등의 분석이 가능해 위생 관리, 창업 계획, 상권 분석, 소비자 안내, 행정 정책 수립 등 다양한 목적으로 활용됩니다.<br/>데이터는 CSV 등 범용 파일 형식으로 제공되며, 공공데이터포털을 통해 누구나 무료로 쉽게 다운로드할 수 있습니다. 최신 정보 반영 및 체계적인 데이터 구조로 실무 활용성이 매우 높으며, 공중위생 업종의 건전한 성장 및 지역사회 생활환경 개선에도 중요한 기초자료로 평가받고 있습니다.",-,-,-,무료,건 ,이용허락범위 제한 없음,-,-,-,3298,https://www.data.go.kr/data/15006904/fileData.do,N,N
15006906,FILE,중소기업은행_입찰정보,중소기업은행_입찰정보_20241231,재정금융 - 재정·금융,B190021,중소기업은행,데이터혁신부,`027296551,-,-,연간,2026-09-03,텍스트,1,hwpx,"물건내용,매각조건,입찰일정,양도담보물,전자입찰",4222,2015-07-15,2025-11-27,-,공공데이터포털에서 다운로드(원문파일등록),"-중소기업은행의 양도담보물 매각 전자입찰 관련 정보*를 월별로 취합하여 제공하고 있습니다.<br/>*관련 정보 : 물건내용 및 매각 조건,  대금납부기일 및 방법, 매매계약 체결 상세 안내, 물품확인 및 계약 체결 담당자, 입찰 상세일정, 입찰 방법, 입찰참가 자격 , 입찰참가 방법, 입찰보증금 납무 및 귀속, 낙찰자 결정방법, 입찰의 무효사항, 입찰의 연기 또는 취소사항 , 매매계약 체결 및 대금 납부 방법 및 기타 유의사항<br/>*전자입찰 이용안내는 한국자산관리공사 자산처분시스템을 이용한 전자입찰로 진행되고 있으니 자세한 내용은(온비드 www.onbid.co.kr )에서 확인 부탁드립니다.",-,-,-,무료,건 ,이용허락범위 제한 없음,-,-,-,3522,https://www.data.go.kr/data/15006906/fileData.do,N,N
15006908,FILE,서울특별시 은평구_공중위생업 현황,서울특별시 은평구_공중위생업 현황_20210401,공공행정 - 일반행정,3110000,서울특별시 은평구,스마트정보과,`023516394,-,-,수시,-,텍스트,1799,CSV,"위생등급제,서비스평가,안전관리,시설기준,행정처분,생활밀착서비스,소비자선택권,위생교육",260,2018-08-02,2025-08-05,-,기관자체에서 다운로드(제공데이터URL기재),"은평구 관내 공중위생업 현황(목욕장,미용,세탁,숙박,네일 등)입니다. 업종명,업소명, 업소소재지(도로명),업소소재지(지번), 영업장면적, 소재지전화 등으로 구성되어있습니다.<br/>해당 데이터는 서울특별시 은평구 내 공중위생업소 전반의 현황을 종합적으로 담고 있습니다 . 「공중위생관리법」에 따라 관리되는 숙박업, 목욕장업, 이·미용업, 세탁업, 위생관리용역업 등이 모두 포함됩니다 . 데이터에는 각 업체의 상호명, 업종, 소재지 주소, 영업장 면적 등 공중보건 및 위생 관리를 위한 핵심 정보가 포함되어 있습니다 .<br/><br/>이 데이터는 주민들의 일상생활과 밀접한 다양한 서비스 업종의 분포와 규모를 한눈에 파악할 수 있게 해줍니다. 지역 내 업소들의 밀집도와 종류를 분석하여 상권의 특성과 생활 편의성을 진단할 수 있으며, 인허가 및 폐업 현황은 지역 경제의 활력과 서비스 산업의 동향을 보여주는 중요한 지표가 됩니다 . 또한, 지자체는 2년 주기의 공중위생서비스 평가를 통해 업소들의 위생 및 서비스 수준을 관리·감독하고 , 그 결과를 공개하여 주민들의 알 권리를 보장하고 안전한 서비스 이용 환경을 조성하는 데 필수적인 기초 자료로 활용합니다 .<br/>",-,-,-,무료,건 ,이용허락범위 제한 없음,-,-,-,2882,https://www.data.go.kr/data/15006908/fileData.do,N,N
15006909,FILE,경상남도 창녕군_공중위생업정보_미용업,경상남도 창녕군_공중위생업정보_미용업_20250424,식품건강 - 식품의약안전,5410000,경상남도 창녕군,행정복지국 행정과,`0555301243,-,-,연간,2026-04-28,텍스트,171,csv,"미용업소,헤어업소,피부업소,화장,네일샵",762,2019-05-15,2025-05-19,전화번호가 없는 업소도 존재합니다.,공공데이터포털에서 다운로드(원문파일등록),"경상남도 창녕군 공중위생업 미용업(미용업, 일반미용업, 피부미용업, 종합미용업, 네일미용업, 화장·분장미용업)에 대한 현황 데이터를 포함하고 있습니다.<br/>1. 미용 업종명, 업소의 명칭, 영업소 소재지 주소(도로명 주소, 없는 경우 일반주소), 소재지 전화번호(일반 전화번호)를 제공합니다.<br/>2. 데이터 기준일은 2025년 4월 24일이며, 해당 자료는 매년 1회 정기적으로 갱신 및 업데이트됩니다<br/>3. 전화번호가 휴대전화번호인 경우 개인정보로 데이터가 없습니다.<br/>4. 데이터와 관련하여 추가적인 문의사항이나 세부 설명이 필요하신 경우에는 창녕군청 관광환경국 환경위생과 위생팀 055-530-1164으로 문의 주시기 바랍니다.",미용업 허가 기준 데이터로 업소 상황에 따라 영업을 하지 않을 수 있습니다.,-,-,무료,건 ,이용허락범위 제한 없음,-,-,-,2728,https://www.data.go.kr/data/15006909/fileData.do,N,N
15006911,FILE,대전광역시 서구_미용업현황,대전광역시 서구_미용업현황_20250401,식품건강 - 식품의약안전,3660000,대전광역시 서구,홍보담당관,`0422882391,미용업소 현황,-,연간,2026-04-01,텍스트,2387,csv,"일반미용업,피부미용업,네일미용업,공중위생,지역서비스업,생활편의업체,지역상권,미용업체",941,2019-09-11,2025-11-19,-,공공데이터포털에서 다운로드(원문파일등록),"대전광역시 서구의 공중위생업소 중 미용업 신고업소 현황 데이터는 지역 내 미용 서비스 제공업소의 분포와 운영 정보를 체계적으로 파악할 수 있도록 구성된 자료입니다. 이 데이터에는 업종명, 업소명, 지번·도로명 주소, 전화번호 등 기본적인 영업 정보가 포함되어 있어, 서구 관내 미용업소의 위치·규모·접근성을 한눈에 확인하실 수 있습니다. 또한 행정 관리 측면에서는 미용업소 등록·변동 현황 파악, 소비자 편의를 위한 생활편의 지도 구축, 지역경제 분석 및 공중위생 관리 정책 수립에 활용 가치가 높습니다. 업소별 연락처와 주소 정보는 시민 이용 편의를 높이고, 위생 점검·허가 관리 등 행정업무에도 중요한 기초자료로 활용됩니다.",데이터 내 공란의 경우 데이터 미집계/부재이거나 개인정보와 같은 비공개 대상에 해당됩니다.,-,-,무료,건 ,이용허락범위 제한 없음,-,-,-,3419,https://www.data.go.kr/data/15006911/fileData.do,N,N
15006913,FILE,송파구시설관리공단 강좌 정보,송파구시설관리공단 강좌 정보_20200525,공공행정 - 일반행정,B551287,송파구시설관리공단,경영지원팀,`07042712717,해당사항 없음,-,분기,2020-08-31,텍스트,1,hwpx,"강좌검색,수강신청,강좌정보",1691,2015-07-22,2020-05-25,-,공공데이터포털에서 다운로드(원문파일등록),송파구시설관리공단에서 운영하는 시설별 강좌 운영 현황,-,-,-,무료,건 ,이용허락범위 제한 없음,-,-,-,3094,https://www.data.go.kr/data/15006913/fileData.do,N,N
15006915,FILE,충청북도 증평군_공중위생업 현황,충청북도 증평군_공중위생업 현황_20250529,식품건강 - 식품의약안전,5570000,충청북도 증평군,디지털홍보담당관,`0438354963,-,-,연간,2026-05-29,텍스트,229,csv,"목욕탕,미용업,세탁업,숙박업현황,위생업종분포,위생업소지도,생활서비스시설,위생안전관리",1227,2019-09-05,2025-05-29,-,공공데이터포털에서 다운로드(원문파일등록),"충청북도 증평군_공중위생업 현황 데이터는 증평군 관내에서 운영 중인<br/>이·미용업, 숙박업, 목욕업 등 공중위생 관련 업소의 현황을 수록한 공공데이터입니다.<br/>데이터 항목에는 순번, 업종명(예: 미용업, 숙박업, 세탁업 등),<br/>업소명, 지번주소, 도로명주소, 위도 및 경도(공간정보),<br/>소재지 전화번호가 포함되어 있습니다.<br/><br/>본 데이터는 지역 내 공중위생업소 분포 및 위생관리 대상 파악,<br/>업종별 현황 비교, 지도 기반 위생시설 시각화,<br/>생활 인프라 접근성 분석, 공중위생 관련 행정계획 수립 등에 활용됩니다.<br/>특히 위도·경도 좌표 정보를 통해 GIS 기반 위생안전지도 제작,<br/>현장 점검 대상 지정, 취약지역 위생행정 강화 등 실무 활용도가 높습니다.<br/><br/>또한 생활서비스 정책, 위생 평가제도 운영, 민원 대응 자료 등으로도 쓰이며,<br/>위생업소의 신규 등록·폐업 등 행정 변동사항에 따라 주기적으로 갱신됩니다.<br/><br/>해당 데이터는 증평군청에서 「공중위생관리법」 및 지자체 조례에 따라 관리되며,<br/>정기 위생점검이나 지정 고시 기준에 따른 운영 상태도 병행 관리됩니다.",-,-,-,무료,건 ,이용허락범위 제한 없음,-,-,-,3047,https://www.data.go.kr/data/15006915/fileData.do,N,N
15006919,FILE,경찰청 인천광역시경찰청_주정차 허용 현황,경찰청 인천광역시경찰청_주정차 허용 현황_20241231,재난안전 - 경찰,1322989,경찰청 인천광역시경찰청,인천지방경찰청,`0324552451,-,-,연간,2026-05-07,텍스트,320,csv,"주정차허용,교통규제완화,교통안전,차종별허용,교통안전시설물",848,2020-01-31,2025-07-07,-,공공데이터포털에서 다운로드(원문파일등록),"인천광역시경찰청에서 제공하는 주정차 허용 현황 데이터는 생활경제 활성화를 목적으로, 인천시 내에서 주정차가 허용되는 구간과 조건을 체계적으로 안내하는 공공데이터입니다. 이 데이터는 각 관할 경찰서 및 구별로 도로명, 시설 종류, 허용 차량 수 등 세부 항목을 포함하고 있으며, 실제 주정차 허용 효력은 현장에 **교통안전시설물(안전표지 등)**이 설치된 시점부터 발생합니다. 따라서 반드시 현장에 설치된 표지판이나 안내문을 확인해야 하며, 만약 데이터상의 내용과 현장 시설물이 다를 경우 현장의 교통안전시설물 내용이 우선 적용됩니다.<br/>또한, 각 지자체의 예산 및 행정 사정에 따라 교통안전시설물 설치 일정이 달라질 수 있으므로, 허용 구간이 실제로 운영 중인지 현장 확인이 필수적입니다. 일부 구간은 차종에 따라 주정차가 허용되지 않을 수 있으며, 이 역시 표지판 등 시설물에 명확히 표기되어 있습니다. 데이터는 연 1회 갱신되며, CSV, XML, JSON 등 다양한 형태로 제공됩니다.<br/>이 데이터는 교통규제 완화, 교통안전 확보, 주정차 허용 정책의 투명성 제고, 시민 편의 증진, 지역경제 활성화 등 다양한 목적에 활용됩니다.",-,-,-,무료,건 ,이용허락범위 제한 없음,-,-,-,4359,https://www.data.go.kr/data/15006919/fileData.do,N,N
15006921,FILE,경상북도 경산시_공중위생업 현황,경상북도 경산시_공중위생업 현황_20250616,식품건강 - 식품의약안전,5130000,경상북도 경산시,식품의약과,`0538106337,-,-,연간,2026-06-16,텍스트,1423,csv,"업종명,업소명,영업소 주소도로명,영업소 주소지번,업태명",868,2019-09-10,2025-08-07,-,공공데이터포털에서 다운로드(원문파일등록),"경산시 공중위생업소 현황 데이터는 경상북도 경산시 관내에 등록된 일반미용업, 피부미용업, 네일미용업, 화장분장업 등의 업종명, 업소명, 영업소주소 정보를 제공하기 위해 수집·관리되는 파일 데이터입니다. 주요 항목은 연번, 업종명(예: 일반미용, 피부미용, 네일, 화장분장 등), 업소명(공식 상호), 영업소주소(도로명 및 상세위치)이며, 행정동 코드 등 표준화된 부가 필드를 포함할 수 있습니다. 데이터는 CSV·JSON 형태로 경산시 공공데이터 포털 또는 API를 통해 제공되며, 제공 시점의 최신 영업 정보만 포함되고 개인정보는 제외됩니다. 정기 업데이트 주기는 연 1~2회이며, 신규 등록·변경·폐업 발생 시 반영 절차를 거쳐 최신성이 유지됩니다. 주소 정보는 GIS 분석 연계가 가능하도록 행정구역 코드와 매핑되어 있어 상권 분석, 창업 입지 검토, 민간 서비스 연동, 관광·체험 프로그램 기획 등 다양한 활용이 가능하며, 데이터 건수가 많아 일반 편집기에서 전체가 표시되지 않을 수 있으므로 DBMS나 전용 분석 도구 사용을 권장합니다. 오류나 누락 발견 시 경산시 공공데이터 담당부서에 수정 요청이 가능합니다.",-,-,-,무료,건 ,이용허락범위 제한 없음,-,-,-,3296,https://www.data.go.kr/data/15006921/fileData.do,N,N
15006922,FILE,인천광역시 미추홀구_공중위생업소 현황,인천광역시 미추홀구_공중위생업소 현황_20250901,공공행정 - 일반행정,3510500,인천광역시 미추홀구,스마트정책실,`0320000000,-,-,연간,2026-10-25,텍스트,190,csv,"공중이용시설,목욕,미용,숙박업,생활편의시설,주소",1191,2018-12-26,2025-10-31,-,공공데이터포털에서 다운로드(원문파일등록),"본 데이터는 인천광역시 미추홀구 관내 공중위생업소 현황을 수록한 자료입니다. 데이터는 각 업소의 상호명, 도로명주소, 전화번호, 위도 및 경도 좌표 정보를 포함하고 있습니다. 공중위생업소에는 여관, 여인숙 등 숙박시설이 다수 포함되어 있으며, 이는 지역 내 생활 편의시설 분포와 상업적 특성을 파악하는 데 활용할 수 있습니다. 또한 행정기관에서는 본 자료를 기반으로 위생 관리, 안전 점검, 인허가 관리 등의 행정 서비스에 활용할 수 있으며, 주민과 이용객들은 연락처와 위치 정보를 통해 손쉽게 필요한 시설을 확인할 수 있습니다. 더 나아가 해당 자료는 정책 수립, 관광 서비스 개선, 공중위생 지도·점검의 기초 자료로 활용될 수 있어 공공성과 실용적 가치가 높습니다. 데이터는 정기적으로 갱신되어 최신 현황을 반영하며, 미추홀구의 생활환경 관리와 시민 안전 확보를 위한 기초 데이터로 제공됩니다.",개인정보 보호 및 데이터 미집계로 인해 공란이 존재할 수 있으므로 이용에 참고하시기 바랍니다.,-,-,무료,건 ,이용허락범위 제한 없음,-,-,-,3355,https://www.data.go.kr/data/15006922/fileData.do,N,N
15006926,FILE,경상남도 양산시_공중위생업소 현황,경상남도 양산시_공중위생업소 현황_20250304,보건의료 - 보건의료,5380000,경상남도 양산시,정보통신과,`0553922383,-,-,연간,2026-03-04,텍스트,1796,csv,"미용업,숙박업,세탁업",1095,2016-06-09,2025-03-05,-,공공데이터포털에서 다운로드(원문파일등록),"경상남도 양신시 관내 공중위생업소(목욕장업, 피부미용업, 일반미용업, 네일미용업, 화장, 세탁업, 숙박업 등) 업소소재지, 전화번호 정보 등",-,-,-,무료,건 ,이용허락범위 제한 없음,-,-,-,3775,https://www.data.go.kr/data/15006926/fileData.do,N,N
15006927,FILE,경기도 안산시_축산물판매업,경기도 안산시_축산물판매업_20241121,농축수산 - 임업·산촌,3930000,경기도 안산시,스마트도시과,`0314813007,-,-,연간,2025-12-02,텍스트,752,csv,"도축,포장형태,원유,판매업현황,축산물판매",2384,2019-07-26,2025-11-24,-,공공데이터포털에서 다운로드(원문파일등록),"이 정보는 안산시 관내에서 운영 중인 축산물판매업소에 대한 현황을 정리한 자료입니다. 총 752개소의 사업장 정보가 포함되어 있으며, 사업장명, 지번주소, 도로명주소, 인허가일자, 영업상태, 소재지면적, 위도, 경도, 데이터 기준일자 등 9개 항목으로 구성되어 있습니다. 본 정보에 수록된 업소는 주로 정육점, 축산물 유통 대리점 등으로, 상록구와 단원구 전역에 걸쳐 고르게 분포되어 있습니다. 이 정보는 축산물 유통 인프라 파악, 식품 안전관리 기반 조성, 위생 단속 대상 선정, 지역 기반 축산물 정책 수립 등 공공 행정 목적에 활용하실 수 있습니다. 또한 민간 영역에서는 정육점 밀집도 분석, 프랜차이즈 입점전략 수립, 유통 물류 시스템 기획, 고기 기반 음식점 입지 선정 등에서도 실효성 있는 참고자료가 될 수 있습니다. 특히 위경도 정보가 포함되어 있어 지도 기반 분석 및 시설 밀집도 시각화 등 공간정보 분석 활용도도 높습니다.<br/>",-,-,-,무료,건 ,이용허락범위 제한 없음,-,-,-,3669,https://www.data.go.kr/data/15006927/fileData.do,N,N
15006928,FILE,전라남도 함평군_공중위생업현황,전라남도 함평군_공중위생업현황_20250123,보건의료 - 보건의료,4960000,전라남도 함평군,총무과,`0613201542,-,-,연간,2026-04-28,텍스트,123,csv,"공중위생업,미용실,미용업,숙박업,목용장업",2534,2019-10-14,2025-07-11,-,공공데이터포털에서 다운로드(원문파일등록),"전라남도 함평군은 군민의 건강 보호와 생활환경 위생 수준 향상을 위해 관내 공중위생업소 현황 정보를 공공데이터로 제공하고 있습니다. 본 자료는 함평군에 등록된 이·미용업, 숙박업, 목욕장업 등 다양한 공중위생업소에 대한 정보를 포함하고 있으며, 업종명, 업소명, 영업소 주소, 소재지 전화번호 등의 항목으로 구성되어 있습니다. 해당 데이터는 지역별 업종 분포 파악, 위생 점검 대상 관리, 감염병 대응 및 민원 처리 기반 마련 등에 활용될 수 있으며, 공공위생 정책 수립, 생활안전 정보 시스템 구축, 위생업소 이용자 안내 서비스 등 다양한 행정 및 민간 서비스 개발에도 유용한 공공자원입니다.",소재지 전화번호가 핸드폰 번호인 경우 공란,-,-,무료,건 ,이용허락범위 제한 없음,-,-,-,2709,https://www.data.go.kr/data/15006928/fileData.do,N,N
15006929,FILE,강원특별자치도 춘천시_공중위생업소 현황,강원특별자치도 춘천시_공중위생업소 현황_20251022,식품건강 - 식품의약안전,4181000,강원특별자치도 춘천시,강원특별자치도 춘천시 경제진흥국 디지털정책과,`0332503506,-,-,연간,2026-10-23,텍스트,1831,csv,"숙박업,이미용업,세탁업,위생,미용,위생업소",1037,2017-10-16,2025-11-24,-,공공데이터포털에서 다운로드(원문파일등록),"춘천시 내 숙박업(일반 및 생활형), 목욕장업, 이용업, 미용업(일반, 피부, 종합, 네일, 화장, 분장), 세탁업, 건물위생관리업에 대한 자료는 지역 내 서비스업 현황을 파악하고 위생 및 행정지도를 위한 기초자료로 활용됩니다. 이 자료는 업종명, 업소명, 업소 소재지(도로명 주소), 소재지 전화번호, 데이터 기준일 등으로 구성되어 있으며, 각 업종별 등록된 영업장의 위치 및 기본 정보를 제공합니다. 해당 정보는 시민들이 생활 밀접 업종의 위치와 연락처를 쉽게 확인할 수 있도록 하며, 지자체가 업소를 효과적으로 관리하고 점검할 수 있도록 돕습니다. 또한, 관련 업종 종사자들에게는 시장 현황 분석 및 신규 창업 시 참고자료로 활용될 수 있습니다. 데이터는 정기적으로 갱신되어 최신성을 유지합니다.",소재지전화는 개인정보 사유로 일부 공란으로 되어 있음을 유의하시기 바랍니다.,-,-,무료,건 ,이용허락범위 제한 없음,-,-,-,3595,https://www.data.go.kr/data/15006929/fileData.do,N,N
15006930,FILE,충청북도 단양군_축산업등록정보,충청북도 단양군_축산업등록정보_20250904,농축수산 - 임업·산촌,4480000,충청북도 단양군,자치행정과,`0434202534,-,-,연간,2026-11-20,텍스트,165,csv,"사업장명,사업장,축산업,사육,사육두수,지번주소,도로명 주소,데이터기준일자",1287,2019-04-01,2025-12-02,-,공공데이터포털에서 다운로드(원문파일등록),"충청북도 단양군의 축산업등록정보를 정리한 데이터입니다. 사업장명칭, 주사육업종, 사업장소재지(지번), 사업장소재지(도로명), 사육두수, 데이터기준일자 정보를 포함하고 있으며, 학계 또는 연구기관에서는 이 자료를 활용하여 축산업등록정보 현황 파악, 분석 및 연구자료로 매우 유용하게 활용될 수 있습니다. 데이터기준일자는 2025년 9월 4일입니다. 담당부서는 단양군청 농림환경국 농업축산과이며 문의주시면 최신의 충청북도 단양군 축산업등록정보 현황을 열람하실 수 있게 도와드립니다.<br/>","도로주소, 사육두수 등 일부 수집되지 않은 경우 공란으로 제공됩니다.",-,-,무료,건 ,이용허락범위 제한 없음,-,-,-,3441,https://www.data.go.kr/data/15006930/fileData.do,N,N
